O=C(Nc1ccccc1)OCCOc1ccccc1
CNc1cncc(N(C)C)c1CN
O=C(Nc1nc2CCCCc2s1)C1CCCO1
ClCCNP1(=O)OCCCN1CCBr
CN(CCCc1ccccc1)C1CCCCC1O
CCCCOC(=O)C=CC(=O)NC(N)=O
CCCC1=CC(=O)c2ccc(O)cc2O1
Oc1ccccc1NC(=O)Cc1ccccc1
Oc1c2OCOc2cc2OC=CC(=O)c12
CCN(CCCl)Cc1cccc(OC)c1
OCC1=CC(=O)c2c(O)cc(O)cc2O1
CC(=N)NCCCCC(N)C(O)=O
NC(=O)C(Br)(Br)C#N
NCc1ccc(CN)c(I)c1
COC(=O)CCCc1ccc2CCCc2c1
COc1ccc(Cl)c(NCCC(O)=O)c1
CC(=NNC(=O)OC(C)(C)C)c1ccco1
Oc1cc(NCCN2CCOCC2)cc2cccnc12
Cc1ccn2c(c1)nc1nc3ccccc3nc21
CNC(=O)c1cc(Cl)nnc1Cl
CN(C)CCC1c2ccccc2Cc2ccccc12
CC(N)C(=O)N1CCSC1
c1ccc2oc(nc2c1)-c1cccnc1
Cc1ccccc1N=C(N)Nc1ccccc1N
CCN(Cc1ccccc1)c1ccccc1
COc1ccc(cc1)N(CCBr)CCBr
CC(NC(=O)C(N)CC#C)C(O)=O
COc1ccccc1OCCCCNCCO
CCCCOCCCNC(=O)Cc1ccccc1OC
CC(=O)C=CCC1CC=CC(=O)O1
CCCC(C(=O)c1ccccc1)n1cncn1
CCc1cc(C(C)=O)c(O)cc1O
CC(C)NC1CCC2=C(C1)C=CC(=O)N2
CC1(C)CCSC(C=Cc2ccccc2)=N1
Nc1cc(NCc2ccccc2)nc(N)n1
CC1CNC(=O)c2[nH]c3ccccc3c12
Cc1ccc(NC(=O)CN2CCOCC2)cc1
NCCNC(Nc1ccccc1)=Nc1ccccc1
CSc1c[nH]c2ncnc(NCCCO)c12
NCCn1cnc2NC(N)=NC(=O)c12
COc1ccc(cc1)C(O)C(=C)C(O)=O
Cc1cccc2SC(Nc12)=NN=C1CCCC1
Cc1nn(cc1C#N)-c1cccc(F)c1
CC1(C)C2CCC1(C)C(=O)C2=C
C[n+]1cccc2[nH]c3ccccc3c12
OCCNc1cc(ncn1)-c1ccccc1
O=C1CCCc2nc(ccc12)-c1cccs1
COc1ccc(cc1)C(=O)Cc1ccccc1
Cc1ccc(cc1)S(N)(=O)=O
CCCN(CCC)C1Cc2c(O)cccc2CC1C
Fc1ccc(NC(=S)Nc2ccccc2Cl)cc1
OC(=O)c1cc(ccc1O)-n1ccnc1
COc1ccccc1C(=O)Nc1nnc(C)s1
CN(CC(O)COCc1cccs1)C1CCCCC1
CC(C)NCC1NCCc2cc(O)c(O)cc12
O=C1N(Cc2ccccc2)CCSc2sccc12
Cc1nc2c(OCc3ccccn3)cccn2c1N
CCCCN=C=O
Cc1nc(Cl)cc(NN=Cc2ccccc2)n1
Cc1ccccc1NC(=O)c1ccc2snnc2c1
Cn1c(N)nc2sc(cc12)C(N)=O
CSSc1cccc(c1)N(=O)=O
COc1ccc(CNC(N)=N)c(OC)c1OC
NC(=O)NN=C1CCC(O)CC1CC(O)=O
Oc1cccc(CCc2cccc(O)c2)c1
CC1(N)CCCCC1c1c[nH]cn1
COCCC1CCC(C=NO)=CC1
C(=Nc1ccc2ccccc2n1)c1cccnc1
Cc1nc(C)c(nc1C)C1CN2CCC1C2
NCCc1ccccc1O
CCON=C(C)C=CC1C(C)=CCCC1(C)C
CC=CCC=CCCCCCCCCOC(C)=O
NCC1CCc2c1ccc(O)c2O
Clc1ccccc1C=CC(=O)c1ccc[nH]1
NC1=Nc2ccccc2NC1=O
CC1NC(=O)COC1c1ccccc1
CC(=O)C1=CN=C2SC=NN2C1=O
CN1CCC2(COCO2)CC1
CCCOCc1cc(O)c(O)c(Br)c1
O=C(NN1CCc2ccccc12)c1ccccc1
COCCNCCCCOc1ccc(Br)cc1C
CCCCOCCCNC(=O)CCCOc1ccccc1
CC(C)(C)N=NC(C)(C)N=C=O
CCCCCc1nccnc1SC
Fc1cccc(c1)C(=O)Nc1cccnc1Cl
CCCC(O)C1=C(Br)C(OC1=O)=CCl
CC(=O)NC1CNC(CO)C1O
Clc1cccc(CNC(=O)c2cnccn2)c1
Oc1ncccc1C(=O)Nc1nccs1
